1022,1020,1018,1036 5',1036 6',1034 5' ,1034 6' ,1032 5' ,1032 6' ,1050 5',1050 6',1048 5',1048 6',1046 5',1046 6'
0.57,0.02,0.02,0.28,0.04,0.01,0,0.01,0,0.04,0.01,0,0,0,0
0.762376238,0.01980198,0.01980198,0.158415842,0.01980198,0.00990099,0,0,0,0.00990099,0,0,0,0,0
0.585858586,0.04040404,0.01010101,0.262626263,0.04040404,0.01010101,0,0,0,0.04040404,0.01010101,0,0,0,0
0.92,0.02,0.01,0.04,0.01,0,0,0,0,0,0,0,0,0,0
0.737373737,0.03030303,0.03030303,0.161616162,0.02020202,0.01010101,0,0,0,0.01010101,0,0,0,0,0
0.828282828,0.02020202,0.01010101,0.111111111,0.02020202,0,0,0,0,0.01010101,0,0,0,0,0
0.67,0.03,0.04,0.2,0.02,0.01,0,0,0,0.02,0.01,0,0,0,0
0.920792079,0.01980198,0.00990099,0.03960396,0.00990099,0,0,0,0,0,0,0,0,0,0
0.86,0.01,0.01,0.1,0.01,0,0,0,0,0.01,0,0,0,0,0
0.898989899,0.02020202,0.01010101,0.060606061,0.01010101,0,0,0,0,0,0,0,0,0,0
0.816326531,0.020408163,0.010204082,0.12244898,0.020408163,0,0,0,0,0.010204082,0,0,0,0,0
0.868686869,0.03030303,0.01010101,0.080808081,0.01010101,0,0,0,0,0,0,0,0,0,0
0.836734694,0.030612245,0.010204082,0.102040816,0.020408163,0,0,0,0,0,0,0,0,0,0
0.95,0.02,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0
0.95959596,0.01010101,0.01010101,0.02020202,0,0,0,0,0,0,0,0,0,0,0
0.787878788,0.080808081,0.01010101,0.04040404,0.070707071,0,0.01010101,0,0,0,0,0,0,0,0
0.82,0.08,0.02,0.03,0.03,0,0.01,0,0,0,0,0,0,0.01,0
0.96,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0
0.95959596,0.01010101,0.01010101,0.02020202,0,0,0,0,0,0,0,0,0,0,0
0.933950315,0.010848192,0.005438465,0.034125108,0.006451441,0.002485745,0.000558215,0.002464192,0,0.001487136,0.000862108,0,0.001329083,0,0
0.821449793,0.080945783,0.025662811,0.023144498,0.028720763,0.002734169,0.010792771,0.000229646,0.000695534,0.001325112,0.002830104,0.000653562,0.000815454,0,0
0.966364446,0.006248482,0.013787137,0.011763337,0.001836598,0,0,0,0,0,0,0,0,0,0
0.915450066,0.02903847,0.052909076,0.0023846,0.000217789,0,0,0,0,0,0,0,0,0,0
0.941448271,0.025788752,0.017327269,0.010916179,0.000955888,0.002451809,0,0.001111833,0,0,0,0,0,0,0
0.90998635,0.021166349,0.018833051,0.043832676,0,0.004316602,0,0.001749974,0,0,0,0,0,5.74991E-05,5.74991E-05
0.943249446,0.01011319,0.041425182,0.003646583,0,0,0,0,0,0,0,0,0,0.0007828,0.0007828
0.924135707,0.017395496,0.015619705,0.035153397,0.003062332,0,0,0,0,0.001975114,0,0,0.000621527,0.001018361,0.001018361
0.589487244,0.22263295,0.071130527,0.03094458,0.0425663,0.017782632,0.015262259,0.001414209,0.001064157,0.00229634,0.005418802,0,0,0,0
0.92877588,0.030136504,0.006689784,0.019809555,0.010651695,0,0.000772897,0,0,0.000513749,0.000753413,0,0,0.000948261,0.000948261
