1302,1300,1298,1296,1292,1292iso,1022,1020,1018,1036 5',1034 5' ,1032 5' ,1050 5',1048 5',1046 5'
0.0294,0.0060,0.0743,0.0121,0.2756,0.0093,0.3915,0.0077,0.0018,0.0245,0.0000,0.0000,0.0000,0.0000,0.0000
0.0078,0.0005,0.0053,0.0006,0.0070,0.0097,0.9491,0.0076,0.0028,0.0030,0.0006,0.0000,0.0000,0.0000,0.0000
0.0488,0.0040,0.0056,0.0030,0.0128,0.0027,0.8730,0.0060,0.0062,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000
0.0221,0.0056,0.0074,0.0041,0.0152,0.0124,0.8542,0.0076,0.0046,0.0402,0.0000,0.0000,0.0026,0.0000,0.0000
0.2240,0.0108,0.0108,0.0060,0.0282,0.0036,0.5918,0.0094,0.0049,0.0437,0.0009,0.0002,0.0039,0.0001,0.0000
0.1073,0.0021,0.0071,0.0026,0.0060,0.0006,0.7598,0.0072,0.0033,0.0561,0.0008,0.0000,0.0040,0.0000,0.0000
0.0128,0.0056,0.0066,0.0056,0.0118,0.0079,0.8772,0.0095,0.0054,0.0351,0.0006,0.0000,0.0018,0.0000,0.0000
0.0287,0.0028,0.0028,0.0018,0.0055,0.0028,0.8901,0.0062,0.0013,0.0345,0.0029,0.0000,0.0000,0.0000,0.0000
0.0336,0.0044,0.0089,0.0050,0.0204,0.0185,0.8183,0.0109,0.0060,0.0312,0.0000,0.0000,0.0057,0.0000,0.0000
0.1980,0.0096,0.0117,0.0041,0.0295,0.0020,0.6213,0.0088,0.0031,0.0522,0.0005,0.0000,0.0044,0.0000,0.0000
0.0303,0.0055,0.0059,0.0031,0.0036,0.0009,0.9073,0.0054,0.0036,0.0167,0.0000,0.0000,0.0020,0.0000,0.0000
0.0290,0.0122,0.0016,0.0007,0.0002,0.0001,0.9004,0.0040,0.0054,0.0368,0.0000,0.0000,0.0042,0.0000,0.0000

0.0121,0.0017,0.0016,0.0008,0.0033,0.0000,0.8988,0.0204,0.0050,0.0451,0.0000,0.0000,0.0027,0.0000,0.0000
0.1611,0.0052,0.0056,0.0024,0.0143,0.0006,0.7017,0.0091,0.0034,0.0602,0.0006,0.0003,0.0040,0.0000,0.0000
0.0176,0.0013,0.0014,0.0020,0.0143,0.0005,0.8517,0.0194,0.0075,0.0616,0.0013,0.0000,0.0032,0.0000,0.0000
0.0787,0.0078,0.0265,0.0057,0.0406,0.0022,0.7375,0.0075,0.0037,0.0343,0.0000,0.0000,0.0033,0.0004,0.0000
0.0520,0.0166,0.0232,0.0095,0.0453,0.0040,0.7451,0.0095,0.0066,0.0360,0.0008,0.0004,0.0018,0.0000,0.0000
0.2314,0.0136,0.0170,0.0067,0.0253,0.0010,0.5739,0.0091,0.0057,0.0428,0.0009,0.0003,0.0028,0.0002,0.0000

0.0541,0.0007,0.0006,0.0012,0.0053,0.0008,0.9023,0.0024,0.0015,0.0179,0.0000,0.0000,0.0013,0.0000,0.0000
0.0169,0.0005,0.0004,0.0001,0.0080,0.0005,0.9207,0.0043,0.0031,0.0284,0.0000,0.0000,0.0019,0.0000,0.0000




0.0230,0.0012,0.0023,0.0012,0.0015,0.0003,0.8961,0.0047,0.0030,0.0414,0.0000,0.0000,0.0027,0.0000,0.0000
0.0130,0.0015,0.0010,0.0004,0.0004,0.0002,0.8982,0.0034,0.0025,0.0506,0.0000,0.0000,0.0030,0.0000,0.0000
0.0074,0.0014,0.0015,0.0005,0.0007,0.0001,0.9507,0.0053,0.0051,0.0189,0.0000,0.0000,0.0016,0.0000,0.0000
0.0093,0.0008,0.0009,0.0004,0.0009,0.0001,0.9239,0.0062,0.0027,0.0377,0.0000,0.0000,0.0026,0.0000,0.0000
0.0091,0.0005,0.0004,0.0002,0.0003,0.0001,0.9070,0.0030,0.0009,0.0564,0.0000,0.0000,0.0024,0.0000,0.0000
0.0106,0.0012,0.0027,0.0000,0.0000,0.0000,0.9069,0.0077,0.0000,0.0501,0.0000,0.0000,0.0000,0.0000,0.0000
0.0470,0.0024,0.0018,0.0009,0.0023,0.0010,0.8490,0.0039,0.0014,0.0628,0.0000,0.0000,0.0022,0.0000,0.0000
0.0614,0.0030,0.0023,0.0013,0.0000,0.0000,0.8389,0.0036,0.0000,0.0482,0.0000,0.0000,0.0028,0.0000,0.0000
0.0471,0.0050,0.0041,0.0018,0.0008,0.0003,0.8258,0.0063,0.0000,0.0587,0.0000,0.0000,0.0024,0.0000,0.0000
0.0461,0.0017,0.0018,0.0008,0.0018,0.0005,0.8490,0.0043,0.0000,0.0553,0.0000,0.0000,0.0000,0.0000,0.0000
0.0661,0.0021,0.0023,0.0011,0.0164,0.0028,0.6494,0.0979,0.0280,0.0232,0.0031,0.0000,0.0055,0.0000,0.0000
